"id","price","brand","model","year","mileage","color","state","country","title_status"
93,24500,bmw,door,2017,17626,gray,michigan, usa,clean vehicle
94,9300,ford,door,2017,120353,white,texas, usa,clean vehicle
95,39800,dodge,challenger,2015,3641,white,pennsylvania, usa,clean vehicle
96,53500,bmw,m,2017,29355,blue,michigan, usa,clean vehicle
97,15110,ford,door,2017,39333,black,texas, usa,clean vehicle
98,34000,ford,door,2015,42930,white,pennsylvania, usa,clean vehicle
99,26502,chevrolet,colorado,2017,24993,black,michigan, usa,clean vehicle
100,5990,ford,mpv,2017,44929,black,texas, usa,clean vehicle
101,13600,ford,focus,2018,16971,black,south carolina, usa,clean vehicle
102,23605,cadillac,door,2017,35598,gray,michigan, usa,clean vehicle
103,10780,ford,mpv,2017,40455,white,texas, usa,clean vehicle
104,13800,ford,focus,2018,23164,white,south carolina, usa,clean vehicle
105,25201,cadillac,door,2017,19011,no_color,michigan, usa,clean vehicle
106,7070,ford,mpv,2017,45191,white,texas, usa,clean vehicle
107,8700,ford,focus,2018,21405,white,south carolina, usa,clean vehicle
108,18003,chevrolet,malibu,2017,19117,no_color,michigan, usa,clean vehicle
109,8530,ford,door,2017,42104,black,texas, usa,clean vehicle
110,23100,dodge,durango,2018,49496,white,south carolina, usa,clean vehicle
111,24500,cadillac,door,2017,32418,white,michigan, usa,clean vehicle
112,7000,ford,mpv,2017,29882,white,texas, usa,clean vehicle
113,17000,ford,escape,2018,34819,gold,south carolina, usa,clean vehicle
114,34002,chevrolet,"1500",2017,31923,white,michigan, usa,clean vehicle
115,6980,ford,mpv,2017,29168,gray,texas, usa,clean vehicle
116,25000,dodge,charger,2018,28307,silver,michigan, usa,clean vehicle
117,20802,chevrolet,colorado,2017,33791,turquoise,michigan, usa,clean vehicle
118,9200,ford,door,2017,21770,black,texas, usa,clean vehicle
119,26500,chrysler,pacifica,2017,18375,gray,michigan, usa,clean vehicle
120,24802,chevrolet,colorado,2017,14158,gray,michigan, usa,clean vehicle
121,7070,ford,mpv,2017,30318,black,texas, usa,clean vehicle
122,28500,ford,door,2017,48086,red,south carolina, usa,clean vehicle
123,47500,cadillac,door,2017,26562,black,michigan, usa,clean vehicle
124,23500,ford,explorer,2017,57611,black,south carolina, usa,clean vehicle
125,23505,chevrolet,colorado,2017,47357,black,michigan, usa,clean vehicle
126,10940,ford,door,2017,84916,white,texas, usa,clean vehicle
127,32100,ford,f-150,2017,24521,gray,south carolina, usa,clean vehicle
128,53000,chevrolet,"3500",2018,16105,black,washington, usa,clean vehicle
129,6830,ford,mpv,2017,35888,gold,texas, usa,clean vehicle
130,11900,dodge,caravan,2017,59537,gray,south carolina, usa,clean vehicle
131,26414,chevrolet,"1500",2017,55222,black,michigan, usa,clean vehicle
132,4160,dodge,mpv,2018,32870,gray,florida, usa,clean vehicle
133,19405,chevrolet,door,2017,39687,silver,michigan, usa,clean vehicle
134,5690,dodge,mpv,2018,47085,silver,florida, usa,clean vehicle
135,25900,chrysler,van,2017,32224,silver,south carolina, usa,clean vehicle
136,24005,chevrolet,"1500",2017,51293,beige,michigan, usa,clean vehicle
137,5090,dodge,mpv,2018,42989,gray,florida, usa,clean vehicle
138,19500,chrysler,"300",2017,31311,gray,arizona, usa,clean vehicle
139,32012,chevrolet,"1500",2017,46091,white,michigan, usa,clean vehicle
140,6800,dodge,dart,2016,49033,black,michigan, usa,clean vehicle
141,4260,dodge,mpv,2018,33957,gray,florida, usa,clean vehicle
142,0,dodge,van,2008,177948,orange,utah, usa,salvage insurance
143,31802,chevrolet,"2500",2017,19845,silver,michigan, usa,clean vehicle
144,7210,dodge,doors,2018,38910,black,florida, usa,clean vehicle
145,0,dodge,door,2014,123660,silver,utah, usa,salvage insurance
146,28402,chevrolet,"1500",2017,31234,black,michigan, usa,clean vehicle
147,6800,dodge,doors,2018,36767,gray,florida, usa,clean vehicle
148,33300,cadillac,esv,2015,57932,gray,washington, usa,clean vehicle
149,10780,dodge,mpv,2018,19420,white,florida, usa,clean vehicle
150,6700,ford,cutaway,2014,204155,beige,pennsylvania, usa,clean vehicle
151,20000,chevrolet,"1500",2016,93493,white,washington, usa,clean vehicle
152,6440,chrysler,doors,2018,20942,gray,florida, usa,clean vehicle
153,19900,ford,door,2016,86826,gray,south carolina, usa,clean vehicle
154,37000,chevrolet,door,2015,45787,white,washington, usa,clean vehicle
155,4040,dodge,mpv,2018,50765,red,florida, usa,clean vehicle
156,22300,ford,explorer,2016,62774,black,south carolina, usa,clean vehicle
157,31200,chevrolet,door,2011,76326,gray,washington, usa,clean vehicle
158,4290,dodge,mpv,2018,39029,white,florida, usa,clean vehicle
159,22800,ford,el,2016,72885,silver,south carolina, usa,clean vehicle
160,19002,cadillac,door,2016,46467,white,michigan, usa,clean vehicle
161,4160,dodge,mpv,2018,6743,gray,florida, usa,clean vehicle
162,18500,ford,edge,2016,33514,white,south carolina, usa,clean vehicle
163,39000,bmw,series,2016,39917,blue,michigan, usa,clean vehicle
164,6060,dodge,doors,2018,32504,black,florida, usa,clean vehicle
165,28800,ford,door,2016,77638,white,south carolina, usa,clean vehicle
166,40000,bmw,series,2016,31727,gray,michigan, usa,clean vehicle
167,6140,dodge,doors,2018,52966,silver,florida, usa,clean vehicle
168,21000,ford,flex,2016,24157,gray,south carolina, usa,clean vehicle
169,20105,buick,door,2016,51393,beige,michigan, usa,clean vehicle
170,6760,dodge,doors,2018,35461,white,florida, usa,clean vehicle
171,25800,ford,door,2014,47055,brown,pennsylvania, usa,clean vehicle
172,39000,bmw,series,2016,33110,black,michigan, usa,clean vehicle
173,5470,dodge,mpv,2018,39721,black,florida, usa,clean vehicle
174,14600,ford,door,2014,75785,black,pennsylvania, usa,clean vehicle
175,24502,chevrolet,"1500",2016,33624,black,michigan, usa,clean vehicle
176,15110,ford,door,2017,42289,white,texas, usa,clean vehicle
177,7900,ford,door,2014,79422,white,new york, usa,clean vehicle
178,27305,chevrolet,door,2016,28844,blue,michigan, usa,clean vehicle
